
 Shear/q and Bending Moment/q vs Y
  Configuration: Wing                                                        
  Mach  =    0.800
  alpha =   13.000    CLtot =    1.968
  beta  =    0.000

  Sref  =   100.23200
  Bref  =    28.07600
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =   0.
     2Ymax/Bref =   1.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.973195         0.207780    
    0.0337  0.929945         0.191575    
    0.1011  0.844245         0.161362    
    0.1685  0.760064         0.134041    
    0.2359  0.677552         0.109559    
    0.3032  0.597220         0.878500E-01
    0.3738  0.516192         0.681020E-01
    0.4475  0.434912         0.505605E-01
    0.5211  0.357125         0.359527E-01
    0.5948  0.283500         0.241374E-01
    0.6685  0.214696         0.149490E-01
    0.7421  0.151448         0.819604E-02
    0.8158  0.946930E-01     0.365637E-02
    0.8895  0.458640E-01     0.106403E-02
    0.9632  0.788503E-02     0.727132E-04
    1.0000   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =  -1.
     2Ymax/Bref =   0.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.973195        -0.207780    
   -0.0337  0.929945        -0.191575    
   -0.1011  0.844245        -0.161362    
   -0.1685  0.760064        -0.134041    
   -0.2359  0.677552        -0.109559    
   -0.3032  0.597220        -0.878500E-01
   -0.3738  0.516192        -0.681020E-01
   -0.4475  0.434912        -0.505605E-01
   -0.5211  0.357125        -0.359527E-01
   -0.5948  0.283500        -0.241374E-01
   -0.6685  0.214696        -0.149490E-01
   -0.7421  0.151448        -0.819604E-02
   -0.8158  0.946930E-01    -0.365637E-02
   -0.8895  0.458640E-01    -0.106403E-02
   -0.9632  0.788503E-02    -0.727132E-04
   -1.0000   0.00000          0.00000    
